sourceTaxonId	sourceTaxonName	sourceTaxonSex	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:638983	Hyles lineata		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:1002543	Lilium parryi	GEONAMES:5391734	San Bernardino Mountains of southern California, USA	34.216667	-116.95	2001		Alarcón, R., Waser, N.M. and Ollerton, J., 2008. Year‐to‐year variation in the topology of a plant–pollinator interaction network. Oikos, 117(12), pp.1796-1807.
EOL:638983	Hyles lineata		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:578005	Penstemon caesius	GEONAMES:5391734	San Bernardino Mountains of southern California, USA	34.216667	-116.95	2001		Alarcón, R., Waser, N.M. and Ollerton, J., 2008. Year‐to‐year variation in the topology of a plant–pollinator interaction network. Oikos, 117(12), pp.1796-1807.
EOL:916411	Selasphorus rufus		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:578153	Penstemon labrosus	GEONAMES:5391734	San Bernardino Mountains of southern California, USA	34.216667	-116.95	2001		Alarcón, R., Waser, N.M. and Ollerton, J., 2008. Year‐to‐year variation in the topology of a plant–pollinator interaction network. Oikos, 117(12), pp.1796-1807.
EOL:638983	Hyles lineata		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:578005	Penstemon caesius	GEONAMES:5391734	San Bernardino Mountains of southern California, USA	34.216667	-116.95	2003		Alarcón, R., Waser, N.M. and Ollerton, J., 2008. Year‐to‐year variation in the topology of a plant–pollinator interaction network. Oikos, 117(12), pp.1796-1807.
EOL:916046	Stellula calliope		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:578153	Penstemon labrosus	GEONAMES:5391734	San Bernardino Mountains of southern California, USA	34.216667	-116.95	2003		Alarcón, R., Waser, N.M. and Ollerton, J., 2008. Year‐to‐year variation in the topology of a plant–pollinator interaction network. Oikos, 117(12), pp.1796-1807.
EOL:916411	Selasphorus rufus		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:579083	Castilleja miniata	GEONAMES:5391734	San Bernardino Mountains of southern California, USA	34.216667	-116.95	2001		Alarcón, R., Waser, N.M. and Ollerton, J., 2008. Year‐to‐year variation in the topology of a plant–pollinator interaction network. Oikos, 117(12), pp.1796-1807.
EOL:916046	Stellula calliope		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:579083	Castilleja miniata	GEONAMES:5391734	San Bernardino Mountains of southern California, USA	34.216667	-116.95	2001		Alarcón, R., Waser, N.M. and Ollerton, J., 2008. Year‐to‐year variation in the topology of a plant–pollinator interaction network. Oikos, 117(12), pp.1796-1807.
EOL:130884	Papilio rutulus		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:585017	Erysimum capitatum	GEONAMES:5391734	San Bernardino Mountains of southern California, USA	34.216667	-116.95	2001		Alarcón, R., Waser, N.M. and Ollerton, J., 2008. Year‐to‐year variation in the topology of a plant–pollinator interaction network. Oikos, 117(12), pp.1796-1807.
EOL:130884	Papilio rutulus		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:594620	Aquilegia formosa	GEONAMES:5391734	San Bernardino Mountains of southern California, USA	34.216667	-116.95	2001		Alarcón, R., Waser, N.M. and Ollerton, J., 2008. Year‐to‐year variation in the topology of a plant–pollinator interaction network. Oikos, 117(12), pp.1796-1807.
EOL:130884	Papilio rutulus		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:1296015	Platanthera leucostachys	GEONAMES:5391734	San Bernardino Mountains of southern California, USA	34.216667	-116.95	2001		Alarcón, R., Waser, N.M. and Ollerton, J., 2008. Year‐to‐year variation in the topology of a plant–pollinator interaction network. Oikos, 117(12), pp.1796-1807.
EOL:184145	Colias eurydice		http://eol.org/schema/terms/VisitsFlowersOf	visits flowers of	EOL:1296015	Platanthera leucostachys	GEONAMES:5391734	San Bernardino Mountains of southern California, USA	34.216667	-116.95	2001		Alarcón, R., Waser, N.M. and Ollerton, J., 2008. Year‐to‐year variation in the topology of a plant–pollinator interaction network. Oikos, 117(12), pp.1796-1807.
